Date,Name,Marketcap,PostDate,PostMarketcap,Change
2020-01-28,NEM,371099962.226,2020-01-29,370798976.9144,0.0811
2020-01-28,Stellar,1209732371.8722,2020-01-29,1238546132.0336,2.3818
2020-01-28,Tether,4645895398.7573,2020-01-29,4653027307.0966,0.1535
2020-01-28,TRON,1241244747.3669,2020-01-29,1245852892.951,0.3713
2020-01-28,USD Coin,452031882.6599,2020-01-29,452003907.877,0.0062
2020-01-28,Wrapped Bitcoin,5865645.1012,2020-01-29,5821851.7874,0.7466
2020-01-28,XRP,10418484690.0814,2020-01-29,10297986176.3061,1.1566
2020-01-29,Binance Coin,2786094248.0293,2020-01-30,2891490937.7375,3.783
2020-01-29,Bitcoin,169460984603.208,2020-01-30,172978577930.867,2.0758
2020-01-29,Cardano,1387454345.9001,2020-01-30,1453721297.5256,4.7762
2020-01-29,Chainlink,974863478.6205,2020-01-30,1019545842.9555,4.5834
2020-01-29,Cosmos,841480724.0277,2020-01-30,841882517.5531,0.0477
2020-01-29,Crypto.com Coin,693791249.8764,2020-01-30,706420685.9851,1.8204
2020-01-29,Dogecoin,294177531.6744,2020-01-30,300452707.2536,2.1331
2020-01-29,EOS,3782949471.4028,2020-01-30,4126427253.5667,9.0796
2020-01-29,Ethereum,19165292202.1875,2020-01-30,20223232963.5657,5.5201
2020-01-29,IOTA,842299718.996,2020-01-30,815752021.3529,3.1518
2020-01-29,Litecoin,3842950242.1089,2020-01-30,4360322857.5384,13.4629
2020-01-29,Monero,1220220166.0958,2020-01-30,1306324501.4661,7.0565
2020-01-29,NEM,370798976.9144,2020-01-30,375885799.4975,1.3719
2020-01-29,Stellar,1238546132.0336,2020-01-30,1227871265.6188,0.8619
2020-01-29,Tether,4653027307.0966,2020-01-30,4649109251.3634,0.0842
2020-01-29,TRON,1245852892.951,2020-01-30,1300227718.679,4.3645
2020-01-29,USD Coin,452003907.877,2020-01-30,453218426.5778,0.2687
2020-01-29,Wrapped Bitcoin,5821851.7874,2020-01-30,5910055.8,1.5151
2020-01-29,XRP,10297986176.3061,2020-01-30,10643624487.9916,3.3564
2020-01-30,Binance Coin,2891490937.7375,2020-01-31,2832476037.4139,2.041
2020-01-30,Bitcoin,172978577930.867,2020-01-31,170112778161.315,1.6567
2020-01-30,Cardano,1453721297.5256,2020-01-31,1394699437.3755,4.0601
2020-01-30,Chainlink,1019545842.9555,2020-01-31,988326980.1825,3.062
2020-01-30,Cosmos,841882517.5531,2020-01-31,837029351.0609,0.5765
2020-01-30,Crypto.com Coin,706420685.9851,2020-01-31,712735456.9028,0.8939
2020-01-30,Dogecoin,300452707.2536,2020-01-31,294719511.4036,1.9082
2020-01-30,EOS,4126427253.5667,2020-01-31,3936220903.5719,4.6095
2020-01-30,Ethereum,20223232963.5657,2020-01-31,19729633077.607,2.4408
2020-01-30,IOTA,815752021.3529,2020-01-31,816595054.0217,0.1033
2020-01-30,Litecoin,4360322857.5384,2020-01-31,4342918712.9664,0.3991
2020-01-30,Monero,1306324501.4661,2020-01-31,1256071404.4501,3.8469
2020-01-30,NEM,375885799.4975,2020-01-31,405175325.5071,7.7921
2020-01-30,Stellar,1227871265.6188,2020-01-31,1234837874.3665,0.5674
2020-01-30,Tether,4649109251.3634,2020-01-31,4645374933.9403,0.0803
2020-01-30,TRON,1300227718.679,2020-01-31,1245781492.102,4.1874
2020-01-30,USD Coin,453218426.5778,2020-01-31,449187881.3525,0.8893
2020-01-30,Wrapped Bitcoin,5910055.8,2020-01-31,5819636.1852,1.5299
2020-01-30,XRP,10643624487.9916,2020-01-31,10451015953.5775,1.8096
2020-02-03,Binance Coin,2871636148.6959,2020-02-04,2827247893.3172,1.5457
2020-02-03,Bitcoin,169126861033.712,2020-02-04,167093636161.856,1.2022
2020-02-03,Cardano,1477304250.4,2020-02-04,1451818140.0366,1.7252
2020-02-03,Chainlink,971130674.3775,2020-02-04,959392204.904,1.2087
2020-02-03,Cosmos,812471298.8143,2020-02-04,804128108.5161,1.0269
2020-02-03,Crypto.com Coin,719847411.0575,2020-02-04,752775701.381,4.5743
2020-02-03,Dogecoin,300519838.6867,2020-02-04,308369226.0508,2.6119
2020-02-03,EOS,3998552516.5615,2020-02-04,4040806633.5888,1.0567
2020-02-03,Ethereum,20800183238.206,2020-02-04,20735478719.6275,0.3111
2020-02-03,IOTA,927844292.2886,2020-02-04,920163746.5981,0.8278
2020-02-03,Litecoin,4466102181.3769,2020-02-04,4365253454.3444,2.2581
2020-02-03,Monero,1338947606.5041,2020-02-04,1311999525.6705,2.0126
2020-02-03,NEM,441898281.6457,2020-02-04,433886870.3251,1.813
2020-02-03,Stellar,1285126688.5324,2020-02-04,1329865439.2845,3.4813
2020-02-03,Tether,4637320449.7399,2020-02-04,4650469195.2013,0.2835
2020-02-03,TRON,1281470718.3455,2020-02-04,1284364702.9813,0.2258
2020-02-03,USD Coin,443211063.2587,2020-02-04,441022143.8442,0.4939
2020-02-03,Wrapped Bitcoin,5779225.2361,2020-02-04,5724727.1971,0.943
2020-02-03,XRP,11126754979.1092,2020-02-04,11659047307.1711,4.7839
2020-02-05,Binance Coin,2988645525.9294,2020-02-06,3203319484.4626,7.183
2020-02-05,Bitcoin,174983423932.952,2020-02-06,177118274393.946,1.22
2020-02-05,Cardano,1535683141.4073,2020-02-06,1549315822.6866,0.8877
2020-02-05,Chainlink,995970095.1795,2020-02-06,1009638663.39,1.3724
2020-02-05,Cosmos,824888932.1374,2020-02-06,870872256.6488,5.5745
2020-02-05,Crypto.com Coin,785363042.3356,2020-02-06,796639820.9318,1.4359
2020-02-05,Dogecoin,318098839.6536,2020-02-06,326893710.2139,2.7648
2020-02-05,EOS,4298039991.1928,2020-02-06,4363630187.7338,1.526
2020-02-05,Ethereum,22379510312.3186,2020-02-06,23270983771.9064,3.9834
2020-02-05,IOTA,906015177.3561,2020-02-06,919099632.7644,1.4442
2020-02-05,Litecoin,4640906807.7792,2020-02-06,4698795736.6744,1.2474
2020-02-05,Monero,1359554955.5409,2020-02-06,1361272130.0779,0.1263
2020-02-05,NEM,533366085.8827,2020-02-06,530703138.334,0.4993
2020-02-05,Stellar,1378865162.0207,2020-02-06,1415482427.8505,2.6556
2020-02-05,Tether,4655543935.3074,2020-02-06,4629443565.5443,0.5606
2020-02-05,TRON,1385387820.1333,2020-02-06,1502696305.0187,8.4676
2020-02-05,USD Coin,435925185.7181,2020-02-06,431805231.0238,0.9451
2020-02-05,Wrapped Bitcoin,6706067.6795,2020-02-06,6797234.7614,1.3595
2020-02-05,XRP,12124855855.9479,2020-02-06,12332253053.2308,1.7105
2020-02-06,Binance Coin,3203319484.4626,2020-02-07,3431490966.6219,7.123
2020-02-06,Bitcoin,177118274393.946,2020-02-07,178339437206.337,0.6895
2020-02-06,Cardano,1549315822.6866,2020-02-07,1550188288.7477,0.0563
2020-02-06,Chainlink,1009638663.39,2020-02-07,1157986128.4145,14.6931
2020-02-06,Cosmos,870872256.6488,2020-02-07,917332059.3687,5.3349
2020-02-06,Crypto.com Coin,796639820.9318,2020-02-07,801063865.0602,0.5553
2020-02-06,Dogecoin,326893710.2139,2020-02-07,341181360.9822,4.3707
2020-02-06,EOS,4363630187.7338,2020-02-07,4380585470.13,0.3886
