Date,Name,High,PostDate,PostHigh,Change
2020-01-17,Crypto.com Coin,0.0472,2020-01-18,0.0555,17.5847
2020-01-17,Dogecoin,0.0025,2020-01-18,0.0025,0.0
2020-01-17,EOS,4.0548,2020-01-18,3.9915,1.5611
2020-01-17,Ethereum,173.0692,2020-01-18,178.5288,3.1546
2020-01-17,IOTA,0.2561,2020-01-18,0.2543,0.7029
2020-01-17,Litecoin,62.8895,2020-01-18,62.1657,1.1509
2020-01-17,Monero,71.9284,2020-01-18,70.8252,1.5337
2020-01-17,NEM,0.0448,2020-01-18,0.041,8.4821
2020-01-17,Stellar,0.0628,2020-01-18,0.0646,2.8662
2020-01-17,Tether,1.0141,2020-01-18,1.007,0.7001
2020-01-17,TRON,0.0181,2020-01-18,0.0181,0.0
2020-01-17,USD Coin,1.0065,2020-01-18,1.0078,0.1292
2020-01-17,Wrapped Bitcoin,9036.3213,2020-01-18,9034.4722,0.0205
2020-01-17,XRP,0.2432,2020-01-18,0.2512,3.2895
2020-01-21,Binance Coin,18.1467,2020-01-22,18.3537,1.1407
2020-01-21,Bitcoin,8755.7063,2020-01-22,8792.9939,0.4259
2020-01-21,Cardano,0.0465,2020-01-22,0.0463,0.4301
2020-01-21,Chainlink,2.7358,2020-01-22,2.6877,1.7582
2020-01-21,Cosmos,4.7311,2020-01-22,4.6879,0.9131
2020-01-21,Crypto.com Coin,0.0477,2020-01-22,0.0483,1.2579
2020-01-21,Dogecoin,0.0024,2020-01-22,0.0024,0.0
2020-01-21,EOS,3.676,2020-01-22,3.7218,1.2459
2020-01-21,Ethereum,169.9101,2020-01-22,171.0087,0.6466
2020-01-21,IOTA,0.2541,2020-01-22,0.2533,0.3148
2020-01-21,Litecoin,57.9632,2020-01-22,58.9909,1.773
2020-01-21,Monero,66.7682,2020-01-22,66.3366,0.6464
2020-01-21,NEM,0.0383,2020-01-22,0.0432,12.7937
2020-01-21,Stellar,0.0639,2020-01-22,0.0638,0.1565
2020-01-21,Tether,1.0059,2020-01-22,1.0035,0.2386
2020-01-21,TRON,0.0173,2020-01-22,0.0174,0.578
2020-01-21,USD Coin,1.0038,2020-01-22,1.0076,0.3786
2020-01-21,Wrapped Bitcoin,12083.9618,2020-01-22,8819.2839,27.0166
2020-01-21,XRP,0.2403,2020-01-22,0.2387,0.6658
2020-01-22,Binance Coin,18.3537,2020-01-23,17.817,2.9242
2020-01-22,Bitcoin,8792.9939,2020-01-23,8687.7471,1.1969
2020-01-22,Cardano,0.0463,2020-01-23,0.0458,1.0799
2020-01-22,Chainlink,2.6877,2020-01-23,2.6488,1.4473
2020-01-22,Cosmos,4.6879,2020-01-23,4.6816,0.1344
2020-01-22,Crypto.com Coin,0.0483,2020-01-23,0.0482,0.207
2020-01-22,Dogecoin,0.0024,2020-01-23,0.0024,0.0
2020-01-22,EOS,3.7218,2020-01-23,3.6542,1.8163
2020-01-22,Ethereum,171.0087,2020-01-23,168.3122,1.5768
2020-01-22,IOTA,0.2533,2020-01-23,0.2497,1.4212
2020-01-22,Litecoin,58.9909,2020-01-23,58.4767,0.8717
2020-01-22,Monero,66.3366,2020-01-23,65.2071,1.7027
2020-01-22,NEM,0.0432,2020-01-23,0.0439,1.6204
2020-01-22,Stellar,0.0638,2020-01-23,0.0612,4.0752
2020-01-22,Tether,1.0035,2020-01-23,1.0051,0.1594
2020-01-22,TRON,0.0174,2020-01-23,0.0174,0.0
2020-01-22,USD Coin,1.0076,2020-01-23,1.0041,0.3474
2020-01-22,Wrapped Bitcoin,8819.2839,2020-01-23,8658.2877,1.8255
2020-01-22,XRP,0.2387,2020-01-23,0.2363,1.0054
2020-01-23,Binance Coin,17.817,2020-01-24,17.395,2.3685
2020-01-23,Bitcoin,8687.7471,2020-01-24,8514.667,1.9922
2020-01-23,Cardano,0.0458,2020-01-24,0.0452,1.31
2020-01-23,Chainlink,2.6488,2020-01-24,2.5299,4.4888
2020-01-23,Cosmos,4.6816,2020-01-24,4.5214,3.4219
2020-01-23,Crypto.com Coin,0.0482,2020-01-24,0.0471,2.2822
2020-01-23,Dogecoin,0.0024,2020-01-24,0.0023,4.1667
2020-01-23,EOS,3.6542,2020-01-24,3.6993,1.2342
2020-01-23,Ethereum,168.3122,2020-01-24,164.3094,2.3782
2020-01-23,IOTA,0.2497,2020-01-24,0.2398,3.9648
2020-01-23,Litecoin,58.4767,2020-01-24,55.4244,5.2197
2020-01-23,Monero,65.2071,2020-01-24,62.9389,3.4785
2020-01-23,NEM,0.0439,2020-01-24,0.0422,3.8724
2020-01-23,Stellar,0.0612,2020-01-24,0.0595,2.7778
2020-01-23,Tether,1.0051,2020-01-24,1.0054,0.0298
2020-01-23,TRON,0.0174,2020-01-24,0.0166,4.5977
2020-01-23,USD Coin,1.0041,2020-01-24,1.0047,0.0598
2020-01-23,Wrapped Bitcoin,8658.2877,2020-01-24,8607.4729,0.5869
2020-01-23,XRP,0.2363,2020-01-24,0.2263,4.2319
2020-01-27,Binance Coin,17.8951,2020-01-28,18.1151,1.2294
2020-01-27,Bitcoin,8977.727,2020-01-28,9358.5903,4.2423
2020-01-27,Cardano,0.0488,2020-01-28,0.0543,11.2705
2020-01-27,Chainlink,2.6767,2020-01-28,2.6682,0.3176
2020-01-27,Cosmos,4.6676,2020-01-28,4.5866,1.7354
2020-01-27,Crypto.com Coin,0.0494,2020-01-28,0.0524,6.0729
2020-01-27,Dogecoin,0.0024,2020-01-28,0.0024,0.0
2020-01-27,EOS,4.0415,2020-01-28,4.0978,1.393
2020-01-27,Ethereum,172.9229,2020-01-28,176.3703,1.9936
2020-01-27,IOTA,0.2528,2020-01-28,0.2875,13.7263
2020-01-27,Litecoin,59.5775,2020-01-28,61.1534,2.6451
2020-01-27,Monero,66.2075,2020-01-28,67.728,2.2966
2020-01-27,NEM,0.0425,2020-01-28,0.0432,1.6471
2020-01-27,Stellar,0.0615,2020-01-28,0.0618,0.4878
2020-01-27,Tether,1.0071,2020-01-28,1.0082,0.1092
2020-01-27,TRON,0.0173,2020-01-28,0.0189,9.2486
2020-01-27,USD Coin,1.0239,2020-01-28,1.0269,0.293
2020-01-27,Wrapped Bitcoin,9069.4335,2020-01-28,9432.9139,4.0078
2020-01-27,XRP,0.2346,2020-01-28,0.2399,2.2592
2020-01-28,Binance Coin,18.1151,2020-01-29,18.4336,1.7582
2020-01-28,Bitcoin,9358.5903,2020-01-29,9406.4318,0.5112
2020-01-28,Cardano,0.0543,2020-01-29,0.0573,5.5249
2020-01-28,Chainlink,2.6682,2020-01-29,2.8147,5.4906
2020-01-28,Cosmos,4.5866,2020-01-29,4.587,0.0087
2020-01-28,Crypto.com Coin,0.0524,2020-01-29,0.0535,2.0992
2020-01-28,Dogecoin,0.0024,2020-01-29,0.0025,4.1667
2020-01-28,EOS,4.0978,2020-01-29,4.1103,0.305
2020-01-28,Ethereum,176.3703,2020-01-29,178.843,1.402
2020-01-28,IOTA,0.2875,2020-01-29,0.309,7.4783
2020-01-28,Litecoin,61.1534,2020-01-29,62.2499,1.793
2020-01-28,Monero,67.728,2020-01-29,70.6146,4.262
2020-01-28,NEM,0.0432,2020-01-29,0.0423,2.0833
2020-01-28,Stellar,0.0618,2020-01-29,0.0626,1.2945
2020-01-28,Tether,1.0082,2020-01-29,1.0063,0.1885
2020-01-28,TRON,0.0189,2020-01-29,0.0197,4.2328
2020-01-28,USD Coin,1.0269,2020-01-29,1.0298,0.2824
2020-01-28,Wrapped Bitcoin,9432.9139,2020-01-29,9511.435,0.8324
2020-01-28,XRP,0.2399,2020-01-29,0.2413,0.5836
2020-01-29,Binance Coin,18.4336,2020-01-30,18.7032,1.4625
2020-01-29,Bitcoin,9406.4318,2020-01-30,9553.1261,1.5595
2020-01-29,Cardano,0.0573,2020-01-30,0.0569,0.6981
2020-01-29,Chainlink,2.8147,2020-01-30,2.94,4.4516
2020-01-29,Cosmos,4.587,2020-01-30,4.4685,2.5834
2020-01-29,Crypto.com Coin,0.0535,2020-01-30,0.0531,0.7477
2020-01-29,Dogecoin,0.0025,2020-01-30,0.0024,4.0
2020-01-29,EOS,4.1103,2020-01-30,4.3909,6.8268
2020-01-29,Ethereum,178.843,2020-01-30,186.2605,4.1475
2020-01-29,IOTA,0.309,2020-01-30,0.3026,2.0712
2020-01-29,Litecoin,62.2499,2020-01-30,69.738,12.0291
2020-01-29,Monero,70.6146,2020-01-30,74.9774,6.1783
2020-01-29,NEM,0.0423,2020-01-30,0.0432,2.1277
2020-01-29,Stellar,0.0626,2020-01-30,0.063,0.639
